Sub_District,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Customer_to_Competitor_r
Gondokusuman,27,18,4,11.25
Wirobrajan,42,13,6,9.166666666666666
Ngampilan,57,19,11,6.909090909090909
Tegalrejo,83,39,22,5.545454545454546
Umbulharjo,107,81,39,4.82051282051282
Pakualaman,33,48,25,3.24
Danurejan,28,53,26,3.1153846153846154
Mergangsan,89,33,40,3.05
Jetis,18,27,15,3.0
Mlati,32,5,13,2.8461538461538463
Cangkringan,20,9,12,2.4166666666666665
Gondomanan,33,42,33,2.272727272727273
Kraton,46,35,39,2.076923076923077
Depok,32,29,43,1.4186046511627908
Gedongtengen,8,16,17,1.411764705882353
Mantrijeron,44,14,48,1.2083333333333333
Kotagede,9,6,15,1.0
